altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
1272.52,0.001,1272.456,-0.025,-0.027,-0.005,-0.019,0.31292099,37.51375198,0,33.704
1272.52,0.001,1272.456,-0.025,-0.027,-0.005,-0.019,0.31292099,37.51375198,0,33.704
1272.444,0.001,1272.454,-0.025,-0.033,-0.005,-0.021,0.31292099,37.51375198,0,33.704
1272.444,0.001,1272.454,-0.025,-0.033,-0.005,-0.021,0.31292099,37.51375198,0,33.704
1272.448,0.001,1272.451,-0.025,-0.025,-0.006,-0.02,0.31292099,37.51375198,0,33.704
1272.448,0.001,1272.451,-0.025,-0.025,-0.006,-0.02,0.31292099,37.51375198,0,33.704
1272.448,0.001,1272.449,-0.024,-0.03,-0.005,-0.02,0.31292099,37.51375198,0,33.706
1272.448,0.001,1272.449,-0.024,-0.03,-0.005,-0.02,0.31292099,37.51375198,0,33.706
1272.427,0.001,1272.446,-0.024,-0.025,-0.005,-0.02,0.31292099,37.51375198,0,33.712
1272.427,0.001,1272.446,-0.024,-0.025,-0.005,-0.02,0.31292099,37.51375198,0,33.712
1272.42,0.001,1272.442,-0.024,-0.029,-0.005,-0.02,0.31292099,37.51375198,0,33.709
1272.42,0.001,1272.442,-0.024,-0.029,-0.005,-0.02,0.31292099,37.51375198,0,33.709
1272.429,0.001,1272.439,-0.024,-0.029,-0.005,-0.02,0.31292099,37.51375198,0,33.709
1272.429,0.001,1272.439,-0.024,-0.029,-0.005,-0.02,0.31292084,37.51375198,0,33.709
1272.429,0.001,1272.439,-0.024,-0.029,-0.005,-0.02,0.31292084,37.51375198,0,33.709
1272.429,0.001,1272.437,-0.024,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.706
1272.429,0.001,1272.437,-0.024,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.706
1272.418,0.001,1272.433,-0.024,-0.029,-0.005,-0.02,0.31292084,37.51375198,0,33.704
1272.418,0.001,1272.433,-0.024,-0.029,-0.005,-0.02,0.31292084,37.51375198,0,33.704
1272.468,0.002,1272.435,-0.022,-0.028,-0.005,-0.019,0.31292084,37.51375198,0,33.706
1272.468,0.002,1272.435,-0.022,-0.028,-0.005,-0.019,0.31292084,37.51375198,0,33.706
1272.474,0.003,1272.437,-0.02,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.701
1272.474,0.003,1272.437,-0.02,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.701
1272.491,0.003,1272.44,-0.017,-0.026,-0.005,-0.02,0.31292084,37.51375198,0,33.695
1272.491,0.003,1272.44,-0.017,-0.026,-0.005,-0.02,0.31292084,37.51375198,0,33.695
1272.491,0.004,1272.444,-0.014,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.704
1272.491,0.004,1272.444,-0.014,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.704
1272.496,0.005,1272.448,-0.011,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.709
1272.496,0.005,1272.448,-0.011,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.709
1272.416,0.005,1272.445,-0.011,-0.027,-0.005,-0.02,0.31292084,37.51375198,0,33.704
1272.416,0.005,1272.445,-0.011,-0.027,-0.005,-0.02,0.31292084,37.51375198,0,33.704
1272.422,0.004,1272.442,-0.011,-0.034,-0.009,-0.02,0.31292084,37.51375198,0,33.704
1272.422,0.004,1272.442,-0.011,-0.034,-0.009,-0.02,0.31292084,37.51375198,0,33.704
1272.422,0.005,1272.442,-0.009,-0.095,0.002,-0.021,0.31292084,37.51375198,0,33.701
1272.422,0.005,1272.442,-0.009,-0.095,0.002,-0.021,0.31292084,37.51375198,0,33.701
1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
1272.56,0.133,1272.851,0.321,0.19,-0.176,-0.015,0.31292084,37.51375198,0,33.709
1272.56,0.133,1272.851,0.321,0.19,-0.176,-0.015,0.31292099,37.51375198,0,33.709
1274.402,0.277,1273.416,0.722,-0.134,0.01,-0.032,0.31292099,37.51375198,0,33.701
1274.402,0.277,1273.416,0.722,-0.134,0.01,-0.032,0.31292099,37.51375198,0,33.701
1274.402,0.432,1274.018,1.154,-0.071,-0.002,-0.013,0.31292099,37.51375198,0,33.701
1274.402,0.432,1274.018,1.154,-0.071,-0.002,-0.013,0.31292099,37.51375198,0,33.701
1274.398,0.614,1274.715,1.663,-0.373,-0.08,-0.02,0.31292099,37.51375198,0,33.686
1274.398,0.614,1274.715,1.663,-0.373,-0.08,-0.02,0.31292099,37.51375198,0,33.686
1278.931,0.862,1275.88,2.411,0.188,-0.311,-0.055,0.31292099,37.51375198,0,33.668
1278.931,0.862,1275.88,2.411,0.188,-0.311,-0.055,0.31292099,37.51375198,0,33.668
